wav_path,speaker_id,nativeness,gender,speaker_num,sentence,repetition
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_5.wav,N_Sp17_F,native,F,17,3,5
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_3.wav,N_Sp17_F,native,F,17,3,3
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_2.wav,N_Sp17_F,native,F,17,3,2
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_4.wav,N_Sp17_F,native,F,17,3,4
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_1.wav,N_Sp17_F,native,F,17,3,1
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_5.wav,N_Sp17_F,native,F,17,5,5
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_4.wav,N_Sp17_F,native,F,17,5,4
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_3.wav,N_Sp17_F,native,F,17,5,3
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_2.wav,N_Sp17_F,native,F,17,5,2
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_1.wav,N_Sp17_F,native,F,17,5,1
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_3.wav,N_Sp17_F,native,F,17,6,3
/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_1.wav,N_Sp17_F,native,F,17,6,1
